" Población Total por Edades y Sexo"

"FECHA","1996",,,"1998",,,"1999",,,"2000",,,"2001",,,"2002",,,"2003",,,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,
"SEXO","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL",
,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION
EDAD,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum
"  19",19601.198357, 18822.48416,38423.682518,18846.782318,17838.037348,36684.819666,17705.482457,16960.097673,34665.580129,17187.246534,15986.499768,33173.746302,16203.595148,15169.329064,31372.924212,15430.864419,14623.984812,30054.849231,       14691,       13943,       28634,       14435,       13702,       28137,       14175,       13221,       27396,       13545,       12755,       26300,       12896,       12541,       25437,       13120,       12123,       25243,       12701,       12145,       24846,       12192,       11712,       23904,       12162,       11175,       23337,       11780,       11092,       22872,       11250,       10618,       21868
"  20",19855.075223, 19053.30307,38908.378293,18899.042711, 17940.49953,36839.542241,18850.105899,17885.829962,36735.935861,17591.741971,16851.092278,34442.834249,17229.917029,16067.313222,33297.230251,16247.876519,15290.218773,31538.095292,       15630,       14823,       30453,       14811,       14165,       28976,       14728,       13933,       28661,       14412,       13479,       27891,       13829,       13045,       26874,       13448,       13068,       26516,       13358,       12342,       25700,       12743,       12298,       25041,       12343,       11842,       24185,       12154,       11218,       23372,       11697,       11016,       22713
"  21",19453.702887,18857.539115,38311.242002,19628.020085,18838.550527,38466.570612,18959.462511,17958.754233,36918.216744,18724.436753,17776.215989,36500.652742,17634.827129,16898.639814,34533.466943,17351.047583,16202.193063,33553.240646,       16418,       15439,       31857,       15815,       14976,       30791,       15106,       14422,       29528,       14945,       14230,       29175,       14690,       13702,       28392,       14437,       13573,       28010,       13650,       13287,       26937,       13365,       12464,       25829,       12838,       12421,       25259,       12374,       11871,       24245,       12034,       11150,       23184
"  22",19326.655869,18599.864765,37926.520634,19286.731042,18494.028998, 37780.76004,19617.226155,18823.433573,38440.659728,18830.180849,17899.392219,36729.573068,18777.902408,17746.526425,36524.428833,17729.997993,17063.326755,34793.324748,       17503,       16366,       33869,       16568,       15582,       32150,       16059,       15248,       31307,       15406,       14639,       30045,       15206,       14468,       29674,       15259,       14149,       29408,       14584,       13783,       28367,       13686,       13344,       27030,       13382,       12510,       25892,       12829,       12436,       25265,       12161,       11721,       23882
"  23",19465.020571,18520.594901,37985.615472,19267.760415,18583.800838,37851.561253,19353.986472,18344.442178,37698.428649, 19479.80697,18712.918862,38192.725833,18841.175797,17874.572139,36715.747935,18943.179486,17828.208489,36771.387975,       17872,       17172,       35044,       17605,       16537,       34142,       16880,       15883,       32763,       16305,       15470,       31775,       15559,       14859,       30418,       15798,       14854,       30652,       15456,       14248,       29704,       14503,       13783,       28286,       13699,       13380,       27079,       13402,       12481,       25883,       12626,       12265,       24891
"  24",19507.037054,18324.820117,37831.857171,18963.141158, 18235.13935,37198.280508,19189.666113,18397.914482,37587.580595,19122.641355,18323.377843,37446.019198,19470.314538,18647.842906,38118.157444,19010.275889,17953.401314,36963.677203,       19123,       17906,       37029,       18008,       17176,       35184,       17944,       16731,       34675,       17127,       16115,       33242,       16458,       15536,       31994,       16148,       15149,       31297,       15919,       14919,       30838,       15415,       14210,       29625,       14472,       13746,       28218,       13646,       13277,       26923,       13111,       12330,       25441
"  25",19286.155738,18453.537223,37739.692961,19105.457927,18217.251853,37322.709779,18857.863282,18088.661641,36946.524923,19024.410155,18355.508213,37379.918368,19097.086995,18331.881993,37428.968988,19577.255492, 18636.46816,38213.723652,       19152,       18067,       37219,       19211,       17918,       37129,       18322,       17422,       35744,       18105,       16874,       34979,       17259,       16165,       33424,       17043,       15770,       32813,       16156,       15160,       31316,       15816,       14797,       30613,       15333,       14144,       29477,       14391,       13567,       27958,       13325,       12898,       26223
"  26",19414.069016,18319.867187,37733.936203,19130.819036,18045.329466,37176.148502,18990.581579,17941.651181, 36932.23276,18791.872337,18052.622288,36844.494625,  19063.3374,18261.854038,37325.191438,19204.138623,18373.524722,37577.663345,       19584,       18661,       38245,       19226,       18079,       37305,       19468,       18067,       37535,       18471,       17511,       35982,       18205,       16903,       35108,       17869,       16353,       34222,       17084,       15743,       32827,       15986,       15041,       31027,       15727,       14718,       30445,       15163,       13912,       29075,       14022,       13235,       27257
"  27", 19085.74635,18513.164834,37598.911184,18870.888896,18010.978151,36881.867047,18953.855897,17787.136336,36740.992233,18896.194629,17939.862808,36836.057437,18711.560531,17917.974765,36629.535296,19205.355939,18326.470731, 37531.82667,       19204,       18364,       37568,       19587,       18692,       38279,       19489,       18152,       37641,       19563,       18233,       37796,       18519,       17414,       35933,       18737,       17166,       35903,       17882,       16346,       34228,       16854,       15651,       32505,       15907,       14970,       30877,       15615,       14499,       30114,       14785,       13553,       28338
"  28",19357.759787,18427.518335,37785.278122,19112.782911,18207.979896,37320.762807,18681.747837,17730.521609,36412.269446,18883.447135, 17813.94096,36697.388095,18914.643321,17840.824594,36755.467915,18904.354237,17968.586426,36872.940663,       19193,       18238,       37431,       19273,       18315,       37588,       19890,       18848,       38738,       19571,       18285,       37856,       19627,       18184,       37811,       18983,       17673,       36656,       18782,       17118,       35900,       17697,       16253,       33950,       16735,       15567,       32302,       15668,       14844,       30512,       15171,       14138,       29309
